Systematic || Standard	cbf1_dmet6_t0	cbf1_dmet6_t2.5	cbf1_dmet6_t5	cbf1_dmet6_t15	cbf1_dmet6_t30	cbf1_dmet6_t45	cbf1_dmet6_t60	cbf1_dmet6_t90	met31_dmet6_t0	met31_dmet6_t2.5	met31_dmet6_t5	met31_dmet6_t15	met31_dmet6_t30	met31_dmet6_t45	met31_dmet6_t60	met31_dmet6_t90	met32_dmet6_t0	met32_dmet6_t2.5	met32_dmet6_t5	met32_dmet6_t15	met32_dmet6_t30	met32_dmet6_t45	met32_dmet6_t60	met32_dmet6_t90	met28_dmet6_t0	met28_dmet6_t2.5	met28_dmet6_t5	met28_dmet6_t15	met28_dmet6_t30	met28_dmet6_t45	met28_dmet6_t60	met28_dmet6_t90	met4_dmet6_t0	met4_dmet6_t2.5	met4_dmet6_t5	met4_dmet6_t15	met4_dmet6_t30	met4_dmet6_t45	met4_dmet6_t60	met4_dmet6_t90	wt_dmet6_t0	wt_dmet6_t2.5	wt_dmet6_t5	wt_dmet6_t15	wt_dmet6_t30	wt_dmet6_t45	wt_dmet6_t60	wt_dmet6_t90
YJL112W || MDV1	0	-0.043368	0.067517	0.023246	0.046641	0.02773	0.063693	0.031776	0	-0.128072	-0.069313	-0.07574	-0.116472	-0.069638	-0.124315	-0.221595	0	0.005722	-0.034985	-0.07755	0.021864	0.049118	-0.09526	-0.048838	0	0.072035	0.062961	-0.006913	0.075971	0.142453	0.114314	0.059024	0	0.004573	0.099415	-0.004173	0.145471	-0.059551	-0.184616	-0.530528	0	0	0	0	0	0	0	0
YOR391C || HSP33	0	0.108406	0.278317	0.22862	0.10842	-0.0715	-0.129521	-0.198487	0	-0.00922	0.173563	0.212296	0.163045	0.097242	-0.018125	-0.129542	0	-0.01886	0.144638	0.489032	0.188892	0.197799	0.241821	0.131098	0	-0.008439	0.191759	0.09359	0.030355	0.127308	-0.050615	-0.159195	0	0.10489	0.129834	0.208995	0.131756	-0.002051	-0.214904	-0.513256	0	0	0	0	0	0	0	0
YHR087W || RTC3	0	0.539751	0.551718	0.132487	-0.085533	-0.180739	-0.224137	-0.194545	0	-0.01387	0.216366	0.19085	0.173622	-0.103978	-0.081769	-0.015028	0	-0.347911	-0.307309	0.293656	0.042913	0.072535	0.151829	0.090466	0	0.200072	0.319231	-0.00816	-0.046279	-0.060009	0.066969	0.035825	0	-0.004775	0.064898	0.286534	0.35028	-0.12478	-0.346764	-0.823109	0	0	0	0	0	0	0	0
YCL030C || HIS4	0	0.037797	0.030624	-0.03341	-0.071236	-0.354599	-0.599704	-0.428574	0	0.228923	0.124082	0.295274	-0.091864	0.019647	-0.07899	-0.076513	0	-0.091736	-0.092177	0.008938	-0.106618	-0.311128	-0.479498	-0.62029	0	0.102055	0.14506	0.112235	0.022172	0.003715	0.094147	-0.008661	0	-0.003893	-0.007122	0.128404	0.069687	-0.206476	-0.422199	-0.675458	0	0	0	0	0	0	0	0
YNL221C || POP1	0	0.006531	-0.095024	0.187959	0.039913	-0.174069	-0.410533	-0.293769	0	0.092871	0.00578	0.06636	0.161702	0.179665	0.14727	0.166808	0	-0.161215	-0.12749	-0.150042	-0.241606	-0.345194	-0.421703	-0.426384	0	0.083835	0.046386	0.1655	0.254693	0.256844	0.247935	0.165173	0	0.035517	0.173605	-0.028611	-0.0992	-0.283495	-0.26138	-0.289339	0	0	0	0	0	0	0	0
YPL207W || TYW1	0	0.138139	0.102648	0.115253	-0.029958	0.064	-0.134646	-0.171944	0	0.323382	0.151104	0.071344	-0.011856	-0.072176	-0.162012	-0.250108	0	0.007833	0.0339	-0.197328	-0.113249	-0.214361	-0.280791	-0.359427	0	0.144957	0.145812	0.211248	0.192614	0.11634	0.072494	0.108841	0	0.02322	-0.040611	0.109248	0.000196	-0.078578	-0.191118	-0.148186	0	0	0	0	0	0	0	0
YGL037C || PNC1	0	0.493773	0.586175	0.496171	0.173773	-0.394214	-0.487001	-0.790722	0	0.129483	0.130405	0.151595	-0.392697	-0.265934	-0.289295	-0.254958	0	-0.136458	-0.01965	0.103286	-0.223075	-0.238948	-0.213234	-0.206561	0	0.44026	0.521096	0.3832	-0.144726	-0.17794	-0.120526	-0.279986	0	0.111016	0.069342	0.225253	-0.205903	-0.57287	-0.871388	-0.962185	0	0	0	0	0	0	0	0
YGR248W || SOL4	0	0.347552	0.438718	0.284138	0.05775	-0.298598	-0.40315	-0.418608	0	-0.040633	-0.017645	-0.1111	-0.068884	-0.109369	-0.161456	-0.201237	0	-0.074447	-0.065876	-0.09867	-0.028747	-0.064376	-0.133585	-0.175854	0	0.248971	0.505446	0.245388	0.054303	0.121919	0.00946	-0.045718	0	0.019698	-0.004862	0.033624	0.149897	-0.004991	-0.213311	-0.691923	0	0	0	0	0	0	0	0
YOR173W || DCS2	0	0.362267	0.50819	0.295796	0.208654	-0.150063	-0.275758	-0.371744	0	0.017406	0.232661	0.063548	0.011849	0.012883	-0.002507	0.004834	0	-0.127935	-0.157689	-0.141915	-0.151772	-0.181525	-0.246536	-0.43399	0	0.284509	0.531796	0.20971	0.0118	0.103555	0.004719	-0.039404	0	0.032946	0.062165	0.061597	0.18841	-0.111625	-0.283606	-0.91928	0	0	0	0	0	0	0	0
YFR017C || IGD1	0	0.337787	0.565705	0.18382	0.045594	-0.092817	-0.133539	-0.283068	0	0.048824	-0.110488	-0.067719	-0.094643	-0.078557	-0.218378	0.059603	0	-0.082082	-0.049694	-0.132165	-0.192187	-0.366937	-0.432272	-0.430738	0	0.318637	0.522737	0.152346	0.264587	0.073171	0.18522	0.202447	0	-0.004499	-0.058323	-0.016855	-0.200683	-0.488702	-0.749738	-0.970121	0	0	0	0	0	0	0	0
YDL204W || RTN2	0	0.267129	0.537632	0.325024	0.260278	-0.040752	-0.089724	-0.163255	0	0.209435	0.011475	-0.084569	-0.058314	-0.059287	-0.304832	-0.19545	0	0.123985	0.115972	-0.0797	-0.156742	-0.264592	-0.255764	-0.422508	0	0.222387	0.339037	0.341116	0.204263	-0.150551	-0.102448	-0.022293	0	-0.109745	-0.090565	-0.054201	-0.146163	-0.346632	-0.569131	-0.765161	0	0	0	0	0	0	0	0
YLR258W || GSY2	0	0.072553	0.3426	0.134304	0.009349	-0.027466	0.067354	-0.227776	0	0.015348	0.027636	-0.028649	-0.040702	0.031988	-0.021423	-0.189134	0	-0.003115	-0.006497	-0.157236	-0.084464	-0.05603	-0.153481	-0.201515	0	0.059988	0.237535	0.228078	0.031636	0.088916	0.089524	0.055717	0	-0.038138	-0.091965	0.000037	0.110144	-0.149216	-0.345895	-0.611446	0	0	0	0	0	0	0	0
YGL224C || SDT1	0	-0.000512	0.071354	0.248148	0.270053	0.278221	0.16157	0.382421	0	-0.020086	-0.054751	0.097747	0.059377	0.039365	0.040765	0.050049	0	-0.07621	-0.032454	0.288972	-0.059305	-0.204626	-0.217598	-0.225826	0	-0.096764	-0.00215	0.103923	0.219716	0.365234	0.311401	0.259835	0	0.02746	-0.004065	-0.04523	-0.211544	-0.433162	-0.640814	-0.774987	0	0	0	0	0	0	0	0
YGR234W || YHB1	0	0.104533	0.274445	0.058041	0.136878	0.322905	0.567917	0.676679	0	-0.107059	0.080232	0.225769	0.09594	0.314191	0.380124	0.382461	0	-0.075835	0.001192	0.322239	-0.071248	-0.037113	-0.019169	-0.185193	0	0.05186	0.12633	-0.009292	0.10384	0.388673	0.47113	0.414674	0	0.050808	0.060632	-0.040567	-0.580214	-1.159371	-1.673424	-1.585647	0	0	0	0	0	0	0	0
YCL064C || CHA1	0	0.138569	-0.012386	-0.059631	0.353421	0.425048	0.229806	0.390379	0	0.051706	-0.042956	0.025339	0.142576	0.248882	0.123346	0.251898	0	0.099139	0.071314	0.149882	0.09538	0.023777	-0.049433	-0.272514	0	0.134252	0.092689	0.142632	0.30839	0.401521	0.366246	0.279569	0	-0.034305	-0.085911	-0.15558	-0.690233	-1.247505	-1.656724	-1.967022	0	0	0	0	0	0	0	0
YIL053W || RHR2	0	0.083146	-0.070088	0.137505	0.179881	0.218765	0.190914	0.687232	0	0.083862	0.096821	0.108031	-0.087486	0.078205	0.115737	0.297183	0	-0.029137	-0.077915	0.091421	-0.074433	-0.051722	-0.07563	-0.143213	0	0.152987	0.112087	0.150496	0.124247	0.180292	0.226956	0.219856	0	-0.020247	0.012561	-0.063347	-0.532337	-0.763391	-0.941851	-0.822108	0	0	0	0	0	0	0	0
YPL026C || SKS1	0	-0.080068	0.095987	0.196179	0.392782	0.528324	0.471121	0.498311	0	0.027025	0.047712	0.189014	0.122807	0.16557	0.20393	0.378394	0	-0.065776	-0.01038	-0.148435	-0.042956	-0.085546	-0.12073	-0.19432	0	0.039336	0.181762	0.40134	0.414378	0.529901	0.445405	0.337456	0	-0.013708	-0.020284	-0.050447	-0.742966	-1.193782	-1.363408	-1.094541	0	0	0	0	0	0	0	0
YLL012W || YEH1	0	0.02347	0.009911	-0.020363	0.19174	0.266322	0.277277	0.384622	0	0.07371	-0.063364	0.123219	0.156305	0.220297	0.217039	0.254505	0	0.011027	0.028404	-0.031439	-0.11674	-0.143319	-0.107405	-0.12111	0	0.122419	0.033942	0.195481	0.251941	0.123884	0.281985	0.185697	0	-0.003674	-0.016402	-0.057759	-0.465354	-0.713075	-0.980891	-0.959975	0	0	0	0	0	0	0	0
YPL024W || RMI1	0	-0.12378	-0.108393	-0.026649	0.112043	0.385058	0.535143	0.507232	0	-0.08807	0.059473	0.007925	0.08375	0.126257	0.188097	0.197749	0	0.048403	0.025604	-0.019709	-0.145266	-0.064212	-0.065955	-0.000137	0	-0.011412	-0.012507	0.109878	0.263788	0.378275	0.278461	0.249478	0	-0.035706	0.02181	-0.058678	-0.307296	-0.603044	-0.641697	-0.803583	0	0	0	0	0	0	0	0
YDL182W || LYS20	0	0.116406	0.089785	-0.096441	0.016918	0.214587	0.308825	0.651979	0	0.186268	0.267938	0.313578	0.166595	0.20869	0.06205	0.170544	0	-0.103812	0.007153	0.193647	-0.500131	-0.488773	-0.420287	-0.515161	0	0.107703	0.294501	0.267808	0.218253	0.20869	0.386075	0.47674	0	-0.020313	0.030131	-0.160011	-0.632991	-1.274166	-1.175835	-1.211215	0	0	0	0	0	0	0	0
YGR108W || CLB1	0	-0.074625	-0.017772	0.012964	0.044213	0.137339	0.271715	0.482183	0	0.054628	0.078281	0.028371	0.123895	0.101397	0.122879	0.256001	0	-0.01412	-0.036943	-0.482905	-0.323276	-0.367003	-0.351031	-0.172556	0	-0.042448	0.031296	0.142094	0.236594	0.132353	0.161027	0.349858	0	-0.031945	0.008273	-0.306046	-0.684149	-1.124276	-1.189759	-0.985155	0	0	0	0	0	0	0	0
YNL180C || RHO5	0	0.132453	0.125233	-0.103159	-0.08666	0.121574	0.291082	0.349776	0	0.069982	0.066833	0.075575	0.076573	0.003152	0.068775	0.161239	0	-0.474709	-0.326689	-0.601443	-0.367982	-0.449556	-0.46258	-0.314445	0	0.071674	0.130381	0.09759	0.016616	0.196333	0.243916	0.312797	0	-0.048351	0.124643	-0.187952	-0.399797	-1.143295	-1.334622	-1.350627	0	0	0	0	0	0	0	0
YDR408C || ADE8	0	-0.059671	-0.067289	-0.096032	-0.064053	0.058489	0.297605	0.60717	0	-0.089513	-0.059287	-0.106232	-0.028646	0.045919	0.142449	0.101985	0	-0.024484	-0.076473	-0.042956	-0.224926	-0.141117	-0.189856	-0.194686	0	0.04181	-0.043059	-0.019286	0.065206	0.080477	0.084925	0.142336	0	-0.046268	0.013152	-0.208326	-0.207057	-0.517534	-0.634218	-0.961899	0	0	0	0	0	0	0	0
YKR080W || MTD1	0	0.100945	0.068787	0.095903	0.111084	0.186339	0.385634	0.727456	0	-0.075169	-0.042538	0.044049	0.068348	0.103334	0.221448	0.261724	0	-0.191794	-0.054003	-0.366446	-0.330248	-0.355214	-0.379471	-0.382475	0	-0.016332	0.119413	0.177117	0.306318	0.34127	0.336626	0.409106	0	-0.008611	0.121366	-0.054394	-0.475642	-0.781535	-0.975697	-1.312581	0	0	0	0	0	0	0	0
YOR101W || RAS1	0	0.055844	0.066865	-0.110181	0.110587	0.22687	0.485756	0.566781	0	-0.053405	0.014711	-0.114391	0.02804	0.080153	0.038205	0.172529	0	0.056085	0.172579	-0.12298	-0.033028	-0.236075	-0.229395	-0.313262	0	0.097654	0.085336	0.067441	0.215959	0.142241	0.220503	0.323397	0	0.046599	-0.030632	0.041739	-0.265355	-0.631583	-0.863391	-0.929811	0	0	0	0	0	0	0	0
YMR189W || GCV2	0	0.082499	0.139183	0.179133	0.20486	0.14959	-0.010653	0.333837	0	0.253788	0.01308	0.135117	0.103622	0.055596	0.105674	0.116663	0	-0.094818	-0.057311	0.10699	-0.147879	-0.201589	-0.187757	-0.263964	0	-0.011582	-0.002725	0.131366	0.01144	-0.014457	0.042811	0.093409	0	0.02534	0.062254	0.107804	-0.329922	-0.581771	-0.996327	-1.336736	0	0	0	0	0	0	0	0
YMR120C || ADE17	0	0.057778	0.115844	0.233529	0.208121	0.202917	0.138926	0.503945	0	0.136917	-0.06113	0.118209	0.007898	0.185618	0.22576	0.31492	0	-0.08986	-0.142286	0.048774	-0.215751	-0.199234	-0.258795	-0.315732	0	-0.000241	-0.0259	0.126494	0.006385	0.13042	0.046253	0.094781	0	-0.069736	-0.043042	-0.010773	-0.323637	-0.662753	-0.926044	-0.996875	0	0	0	0	0	0	0	0
YDR019C || GCV1	0	0.289113	0.256798	0.195509	0.26048	-0.070576	0.094168	0.380381	0	0.010814	0.158505	0.139581	0.151736	0.387571	0.439461	0.532556	0	-0.22156	-0.136168	-0.251189	-0.340256	-0.35165	-0.308832	-0.435103	0	0.030808	0.050904	0.223916	0.164838	0.08165	0.204298	0.285553	0	0.007349	0.080436	-0.066903	-0.246077	-0.591704	-0.91168	-1.758356	0	0	0	0	0	0	0	0
YDL227C || HO	0	0.125429	0.020123	-0.049414	0.263235	0.470709	0.180814	-0.186994	0	-0.033705	0.074823	0.073525	0.233617	0.393273	0.459437	0.307348	0	-0.300957	-0.198227	-0.234682	-0.412988	-0.332769	-0.237449	-0.400292	0	-0.00225	0.128933	0.029012	0.044186	0.237019	0.424672	0.370368	0	0.030681	0.234402	-0.075801	-0.200693	-0.919026	-1.439754	-1.89973	0	0	0	0	0	0	0	0
YLR387C || REH1	0	0.056399	0.122071	-0.000285	0.002433	0.032749	0.238312	0.17309	0	-0.02546	0.139751	-0.000638	-0.002042	0.126871	0.195477	0.150798	0	0.064029	0.038187	-0.093613	-0.175572	-0.100626	-0.144524	-0.138521	0	-0.074765	0.076035	0.023915	-0.020465	-0.032945	-0.076592	-0.030483	0	-0.010595	0.020541	-0.21236	-0.292678	-0.539314	-0.540384	-0.839162	0	0	0	0	0	0	0	0
YER056C || FCY2	0	0.193507	0.288896	-0.043032	-0.009591	0.433406	0.451998	0.270816	0	0.227916	0.144985	0.070337	0.126663	0.152617	0.226375	0.161591	0	0.17282	0.076412	-0.221531	-0.246927	-0.144601	-0.26699	-0.332799	0	0.149057	-0.057622	0.07709	-0.039279	0.149581	0.006716	0.006495	0	-0.115464	-0.109098	-0.358389	-0.728046	-0.822024	-0.992641	-0.851867	0	0	0	0	0	0	0	0
YPL088W || YPL088W	0	-0.04878	-0.069805	-0.021599	0.022925	0.1067	0.234261	0.159703	0	0.025436	0.05814	0.091492	0.171159	0.184679	0.222494	0.207205	0	-0.000896	0.020665	-0.043697	0.093142	0.081993	0.08531	0.047923	0	-0.081019	-0.174385	0.004794	0.026761	0.074086	-0.048775	-0.02192	0	-0.012338	0.002204	-0.145477	-0.215987	-0.416801	-0.674154	-0.889256	0	0	0	0	0	0	0	0
YBR068C || BAP2	0	-0.064461	-0.086765	-0.393329	-0.174896	-0.02958	0.08604	0.125848	0	0.284476	0.17414	0.219616	0.606736	0.694744	0.741377	0.872664	0	0.026506	-0.082368	-0.1236	-0.148726	-0.285092	-0.322715	-0.270514	0	-0.062913	-0.158551	0.061138	0.305701	0.350534	0.371818	0.460378	0	-0.100581	-0.220697	-0.464517	-0.921303	-1.532239	-1.978162	-1.973078	0	0	0	0	0	0	0	0
YJL213W || YJL213W	0	-0.072027	-0.142407	-0.001325	-0.178357	-0.002835	0.204347	0.319388	0	0.363794	0.424678	0.534632	0.544935	0.484944	0.548011	0.527476	0	0.047444	0.015438	-0.389135	-0.362831	-0.332612	-0.341656	-0.381095	0	0.233592	0.194799	0.339823	0.209457	0.317435	0.147442	0.198869	0	-0.186308	-0.163749	-0.259395	-0.545601	-1.298173	-1.713863	-1.865861	0	0	0	0	0	0	0	0
YOR337W || TEA1	0	0.129213	-0.071051	-0.002026	-0.00367	0.087362	0.134259	0.372964	0	0.242984	-0.008283	0.057635	0.13116	0.149241	0.047611	0.284223	0	-0.021751	0.069303	-0.289158	-0.160273	-0.320564	-0.334563	-0.41181	0	0.126424	0.060016	0.28612	0.285499	0.237966	0.31287	0.357194	0	0.040295	0.043016	-0.031648	-0.274202	-0.425232	-0.531609	-0.64247	0	0	0	0	0	0	0	0
YKL029C || MAE1	0	0.271482	0.380072	0.236147	0.207779	0.533543	0.784072	1.128801	0	0.277648	0.120703	0.077815	0.121307	0.128472	0.130418	0.382291	0	-0.18113	-0.084601	-0.392287	-0.340965	-0.412843	-0.295665	-0.329158	0	0.248941	0.395652	0.391921	0.371657	0.240299	0.543183	0.623979	0	0.00699	0.010928	-0.093077	-0.462225	-0.803743	-1.095068	-1.047884	0	0	0	0	0	0	0	0
YMR229C || RRP5	0	0.173572	0.163066	-0.005635	0.043809	0.217544	0.251373	0.402517	0	0.154713	0.220104	-0.026935	0.05741	0.092949	0.006723	0.126784	0	-0.061749	-0.025534	-0.344822	-0.107178	-0.221606	-0.20174	-0.114944	0	0.095692	0.151711	0.07481	0.175686	0.11734	0.19003	0.261931	0	0.080567	0.131959	-0.000718	0.03285	-0.344313	-0.437158	-0.59483	0	0	0	0	0	0	0	0
YBL039C || URA7	0	0.104637	0.124704	0.198363	0.092494	0.264019	0.388611	0.536508	0	0.064342	0.051143	-0.156381	0.114579	-0.016543	-0.13324	0.065203	0	-0.045083	0.104759	-0.011803	0.107742	-0.205535	-0.083586	-0.082399	0	0.079502	0.177868	0.198741	0.310339	0.124454	0.374574	0.468036	0	0.015934	0.015442	-0.027283	-0.105458	-0.523265	-0.708257	-0.794597	0	0	0	0	0	0	0	0
YJR048W || CYC1	0	-0.091221	-0.131503	0.144033	-0.083608	0.440092	0.693346	0.753013	0	-0.118706	0.077761	0.177724	0.132408	-0.070288	0.109584	0.271402	0	-0.273627	-0.158963	-0.124965	-0.335788	-0.336588	-0.232224	-0.314026	0	-0.146398	-0.048267	0.028013	0.046604	0.284641	0.472057	0.489817	0	0.100184	0.164054	0.031851	-0.278707	-0.636611	-0.856791	-0.88275	0	0	0	0	0	0	0	0
YKR081C || RPF2	0	-0.005009	0.000228	-0.037463	-0.022116	0.222221	0.418632	0.582896	0	0.00907	0.042301	-0.098703	0.143693	0.045311	0.13957	0.282259	0	-0.132542	-0.12427	-0.18104	-0.115492	-0.121822	-0.068368	-0.026011	0	-0.00035	-0.079975	-0.009466	0.087304	0.083212	0.257782	0.361912	0	0.027541	0.204604	-0.136633	-0.048847	-0.32046	-0.418248	-0.310411	0	0	0	0	0	0	0	0
YDR448W || ADA2	0	0.337724	0.423784	-0.014359	0.092135	0.118856	0.219493	0.40154	0	0.319961	0.405341	0.190022	0.030382	0.094345	0.27648	0.164084	0	-0.209225	-0.177821	-0.766044	-0.622777	-0.587683	-0.366817	-0.196468	0	0.033536	0.197365	-0.161759	-0.187488	-0.383627	-0.108075	-0.000352	0	-0.073256	-0.040745	-0.364007	-0.698423	-0.877798	-0.906102	-1.068767	0	0	0	0	0	0	0	0
YNL254C || RTC4	0	0.137562	0.395542	0.25832	0.231228	0.181769	0.200257	0.36662	0	0.378872	0.479384	0.490186	0.392681	0.383298	0.510457	0.604116	0	-0.054571	0.162721	-0.477801	-0.192993	-0.28939	-0.211058	-0.181547	0	-0.016696	-0.012569	0.077619	-0.117888	-0.045197	0.004482	0.084084	0	-0.026761	-0.054952	-0.142996	-0.496786	-0.800473	-0.926341	-0.768243	0	0	0	0	0	0	0	0
YBR105C || VID24	0	-0.020733	0.11592	0.092243	0.196648	0.435033	0.666713	0.673077	0	0.73543	0.488257	0.43723	0.428485	0.392266	0.345919	0.367592	0	0.161553	0.046001	-0.062817	-0.194175	-0.272169	-0.223803	-0.278303	0	0.113937	0.10246	0.224156	0.140688	-0.037772	0.005518	0.09134	0	-0.104644	-0.259043	-0.208019	-0.549485	-0.826119	-0.997706	-0.967853	0	0	0	0	0	0	0	0
YIL009W || FAA3	0	-0.032985	-0.077339	-0.002213	0.021911	0.144321	0.164306	0.244513	0	-0.004243	-0.063863	0.053723	0.110872	0.189993	0.14417	0.093452	0	0.100083	0.028981	0.123231	0.018035	-0.016552	-0.019768	-0.054553	0	-0.022507	-0.089458	0.02965	0.022732	0.319386	0.042428	-0.004536	0	0.018059	-0.045054	-0.136914	-0.335732	-0.291789	-0.39582	-0.196753	0	0	0	0	0	0	0	0
YDR281C || PHM6	0	0.063416	-0.118887	0.248683	0.488964	0.679406	0.838204	0.397428	0	-0.030943	-0.016942	-0.139069	-0.089543	0.005461	0.111572	0.355504	0	0.117057	0.089993	-0.127196	-0.001897	0.140814	0.156072	0.044173	0	0.061562	-0.081104	0.2062	0.32447	0.355989	0.232495	0.133049	0	-0.140868	-0.182808	-0.463119	-0.518643	-0.705324	-0.83337	-0.520117	0	0	0	0	0	0	0	0
YMR319C || FET4	0	0.063901	0.132087	0.206909	0.256693	0.309308	0.298435	0.381584	0	0.219086	0.199697	-0.043882	0.017921	0.046884	0.0881	0.104754	0	0.018668	0.091145	0.124505	0.271692	0.293617	0.315	0.345308	0	0.060306	0.112121	0.141166	0.19031	0.22911	0.239902	0.246652	0	0.030199	-0.041389	-0.625503	-1.132485	-1.039374	-0.97001	-0.983267	0	0	0	0	0	0	0	0
